Purchase Key,Date Key,Supplier Key,Stock Item Key,WWI Purchase Order ID,Ordered Outers,Ordered Quantity,Received Outers,Package,Is Order Finalized,Lineage Key
565,3/19/2013,17,143,133,156,1872,156,Carton,1,10
573,3/20/2013,17,143,135,158,1896,158,Carton,1,10
581,3/21/2013,17,143,137,186,2232,186,Carton,1,10
589,3/22/2013,17,143,139,205,2460,205,Carton,1,10
598,3/25/2013,17,143,142,202,2424,202,Carton,1,10
606,3/26/2013,17,143,144,205,2460,205,Carton,1,10
614,3/27/2013,17,143,146,203,2436,203,Carton,1,10
622,3/28/2013,17,143,148,204,2448,204,Carton,1,10
630,3/29/2013,17,143,150,202,2424,202,Carton,1,10
642,4/1/2013,17,143,153,207,2484,207,Carton,1,10
650,4/2/2013,17,143,155,217,2604,217,Carton,1,10
658,4/3/2013,17,143,157,221,2652,221,Carton,1,10
666,4/4/2013,17,143,159,227,2724,227,Carton,1,10
674,4/5/2013,17,143,161,235,2820,235,Carton,1,10
685,4/8/2013,17,143,165,231,2772,231,Carton,1,10
693,4/9/2013,17,143,167,238,2856,238,Carton,1,10
701,4/10/2013,17,143,169,245,2940,245,Carton,1,10
709,4/11/2013,17,143,171,243,2916,243,Carton,1,10
717,4/12/2013,17,143,173,253,3036,253,Carton,1,10
725,4/13/2013,17,143,175,5,60,5,Carton,1,10
729,4/15/2013,17,143,176,255,3060,255,Carton,1,10
737,4/16/2013,17,143,178,253,3036,253,Carton,1,10
745,4/17/2013,17,143,180,258,3096,258,Carton,1,10
753,4/18/2013,17,143,182,256,3072,256,Carton,1,10
761,4/19/2013,17,143,184,254,3048,254,Carton,1,10
769,4/20/2013,17,143,186,2,24,2,Carton,1,10
772,4/22/2013,17,143,188,263,3156,263,Carton,1,10
780,4/23/2013,17,143,190,264,3168,264,Carton,1,10
788,4/24/2013,17,143,192,262,3144,262,Carton,1,10
796,4/25/2013,17,143,194,267,3204,267,Carton,1,10
804,4/26/2013,17,143,196,267,3204,267,Carton,1,10
816,4/29/2013,17,143,200,265,3180,265,Carton,1,10
824,4/30/2013,17,143,202,265,3180,265,Carton,1,10
832,5/1/2013,17,143,204,263,3156,263,Carton,1,10
840,5/2/2013,17,143,206,261,3132,261,Carton,1,10
848,5/3/2013,17,143,208,260,3120,260,Carton,1,10
856,5/4/2013,17,143,210,4,48,4,Carton,1,10
858,5/6/2013,17,143,211,261,3132,261,Carton,1,10
866,5/7/2013,17,143,213,264,3168,264,Carton,1,10
874,5/8/2013,17,143,215,272,3264,272,Carton,1,10
882,5/9/2013,17,143,217,277,3324,277,Carton,1,10
890,5/10/2013,17,143,219,275,3300,275,Carton,1,10
900,5/13/2013,17,143,222,274,3288,274,Carton,1,10
908,5/14/2013,17,143,224,277,3324,277,Carton,1,10
916,5/15/2013,17,143,226,283,3396,283,Carton,1,10
924,5/16/2013,17,143,228,289,3468,289,Carton,1,10
932,5/17/2013,17,143,230,287,3444,287,Carton,1,10
940,5/18/2013,17,143,232,3,36,3,Carton,1,10
944,5/20/2013,17,143,234,287,3444,287,Carton,1,10
952,5/21/2013,17,143,236,295,3540,295,Carton,1,10
960,5/22/2013,17,143,238,300,3600,300,Carton,1,10
968,5/23/2013,17,143,240,313,3756,313,Carton,1,10
976,5/24/2013,17,143,242,317,3804,317,Carton,1,10
987,5/27/2013,17,143,246,313,3756,313,Carton,1,10
995,5/28/2013,17,143,248,319,3828,319,Carton,1,10
1003,5/29/2013,17,143,250,324,3888,324,Carton,1,10
1011,5/30/2013,17,143,252,342,4104,342,Carton,1,10
1019,5/31/2013,17,143,254,340,4080,340,Carton,1,10
1029,6/3/2013,17,143,257,347,4164,347,Carton,1,10
1038,6/4/2013,17,143,259,348,4176,348,Carton,1,10
1047,6/5/2013,17,143,261,351,4212,351,Carton,1,10
1056,6/6/2013,17,143,263,349,4188,349,Carton,1,10
1065,6/7/2013,17,143,265,354,4248,354,Carton,1,10
1073,6/8/2013,17,143,267,7,84,7,Carton,1,10
1077,6/10/2013,17,143,269,369,4428,369,Carton,1,10
1085,6/11/2013,17,143,271,372,4464,372,Carton,1,10
1093,6/12/2013,17,143,273,370,4440,370,Carton,1,10
1101,6/13/2013,17,143,275,368,4416,368,Carton,1,10
1109,6/14/2013,17,143,277,372,4464,372,Carton,1,10
1119,6/17/2013,17,143,281,368,4416,368,Carton,1,10
1127,6/18/2013,17,143,283,366,4392,366,Carton,1,10
1135,6/19/2013,17,143,285,376,4512,376,Carton,1,10
1143,6/20/2013,17,143,287,377,4524,377,Carton,1,10
1151,6/21/2013,17,143,289,379,4548,379,Carton,1,10
1159,6/22/2013,17,143,291,2,24,2,Carton,1,10
1165,6/24/2013,17,143,293,377,4524,377,Carton,1,10
1173,6/25/2013,17,143,295,390,4680,390,Carton,1,10
1181,6/26/2013,17,143,297,391,4692,391,Carton,1,10
1189,6/27/2013,17,143,299,389,4668,389,Carton,1,10
1197,6/28/2013,17,143,301,395,4740,395,Carton,1,10
1210,7/1/2013,17,143,305,396,4752,396,Carton,1,10
1218,7/2/2013,17,143,307,399,4788,399,Carton,1,10
1226,7/3/2013,17,143,309,401,4812,401,Carton,1,10
1234,7/4/2013,17,143,311,410,4920,410,Carton,1,10
1243,7/5/2013,17,143,313,408,4896,408,Carton,1,10
1256,7/8/2013,17,143,317,404,4848,404,Carton,1,10
1264,7/9/2013,17,143,319,405,4860,405,Carton,1,10
1272,7/10/2013,17,143,321,403,4836,403,Carton,1,10
1280,7/11/2013,17,143,323,401,4812,401,Carton,1,10
1288,7/12/2013,17,143,325,399,4788,399,Carton,1,10
1296,7/13/2013,17,143,327,19,228,19,Carton,1,10
1299,7/15/2013,17,143,329,423,5076,423,Carton,1,10
1307,7/16/2013,17,143,331,428,5136,428,Carton,1,10
1315,7/17/2013,17,143,333,431,5172,431,Carton,1,10
1323,7/18/2013,17,143,335,438,5256,438,Carton,1,10
1331,7/19/2013,17,143,337,441,5292,441,Carton,1,10
1341,7/22/2013,17,143,340,447,5364,447,Carton,1,10
1349,7/23/2013,17,143,342,455,5460,455,Carton,1,10
1357,7/24/2013,17,143,344,453,5436,453,Carton,1,10
1365,7/25/2013,17,143,346,458,5496,458,Carton,1,10
1373,7/26/2013,17,143,348,456,5472,456,Carton,1,10
1385,7/29/2013,17,143,351,467,5604,467,Carton,1,10
1393,7/30/2013,17,143,353,466,5592,466,Carton,1,10
1401,7/31/2013,17,143,355,471,5652,471,Carton,1,10
1409,8/1/2013,17,143,357,477,5724,477,Carton,1,10
1417,8/2/2013,17,143,359,484,5808,484,Carton,1,10
1425,8/3/2013,17,143,361,9,108,9,Carton,1,10
1428,8/5/2013,17,143,363,497,5964,497,Carton,1,10
1436,8/6/2013,17,143,365,509,6108,509,Carton,1,10
1444,8/7/2013,17,143,367,507,6084,507,Carton,1,10
1452,8/8/2013,17,143,369,506,6072,506,Carton,1,10
1460,8/9/2013,17,143,371,505,6060,505,Carton,1,10
1471,8/12/2013,17,143,375,501,6012,501,Carton,1,10
1479,8/13/2013,17,143,377,506,6072,506,Carton,1,10
1487,8/14/2013,17,143,379,538,6456,538,Carton,1,10
1495,8/15/2013,17,143,381,536,6432,536,Carton,1,10
1503,8/16/2013,17,143,383,534,6408,534,Carton,1,10
1516,8/19/2013,17,143,387,530,6360,530,Carton,1,10
1524,8/20/2013,17,143,389,538,6456,538,Carton,1,10
1532,8/21/2013,17,143,391,536,6432,536,Carton,1,10
1540,8/22/2013,17,143,393,536,6432,536,Carton,1,10
1548,8/23/2013,17,143,395,534,6408,534,Carton,1,10
1559,8/26/2013,17,143,399,530,6360,530,Carton,1,10
1567,8/27/2013,17,143,401,536,6432,536,Carton,1,10
1575,8/28/2013,17,143,403,549,6588,549,Carton,1,10
1583,8/29/2013,17,143,405,547,6564,547,Carton,1,10
1591,8/30/2013,17,143,407,552,6624,552,Carton,1,10
1602,9/2/2013,17,143,411,548,6576,548,Carton,1,10
1610,9/3/2013,17,143,413,556,6672,556,Carton,1,10
1618,9/4/2013,17,143,415,554,6648,554,Carton,1,10
1626,9/5/2013,17,143,417,552,6624,552,Carton,1,10
1634,9/6/2013,17,143,419,559,6708,559,Carton,1,10
1642,9/7/2013,17,143,421,15,180,15,Carton,1,10
1645,9/9/2013,17,143,422,573,6876,573,Carton,1,10
1653,9/10/2013,17,143,424,571,6852,571,Carton,1,10
1661,9/11/2013,17,143,426,569,6828,569,Carton,1,10
1669,9/12/2013,17,143,428,567,6804,567,Carton,1,10
1677,9/13/2013,17,143,430,573,6876,573,Carton,1,10
1685,9/14/2013,17,143,432,3,36,3,Carton,1,10
1688,9/16/2013,17,143,433,575,6900,575,Carton,1,10
1696,9/17/2013,17,143,435,574,6888,574,Carton,1,10
1704,9/18/2013,17,143,437,576,6912,576,Carton,1,10
1712,9/19/2013,17,143,439,595,7140,595,Carton,1,10
1720,9/20/2013,17,143,441,602,7224,602,Carton,1,10
1729,9/23/2013,17,143,444,599,7188,599,Carton,1,10
1737,9/24/2013,17,143,446,607,7284,607,Carton,1,10
1745,9/25/2013,17,143,448,605,7260,605,Carton,1,10
1753,9/26/2013,17,143,450,603,7236,603,Carton,1,10
1761,9/27/2013,17,143,452,609,7308,609,Carton,1,10
1770,9/30/2013,17,143,455,606,7272,606,Carton,1,10
1778,10/1/2013,17,143,457,604,7248,604,Carton,1,10
1786,10/2/2013,17,143,459,602,7224,602,Carton,1,10
1794,10/3/2013,17,143,461,607,7284,607,Carton,1,10
1802,10/4/2013,17,143,463,605,7260,605,Carton,1,10
1810,10/5/2013,17,143,465,1,12,1,Carton,1,10
1815,10/7/2013,17,143,467,618,7416,618,Carton,1,10
1823,10/8/2013,17,143,469,627,7524,627,Carton,1,10
1831,10/9/2013,17,143,471,631,7572,631,Carton,1,10
1839,10/10/2013,17,143,473,641,7692,641,Carton,1,10
1847,10/11/2013,17,143,475,639,7668,639,Carton,1,10
1855,10/12/2013,17,143,477,6,72,6,Carton,1,10
1858,10/14/2013,17,143,478,655,7860,655,Carton,1,10
1866,10/15/2013,17,143,480,668,8016,668,Carton,1,10
1874,10/16/2013,17,143,482,674,8088,674,Carton,1,10
1882,10/17/2013,17,143,484,672,8064,672,Carton,1,10
1890,10/18/2013,17,143,486,670,8040,670,Carton,1,10
1902,10/21/2013,17,143,490,677,8124,677,Carton,1,10
1910,10/22/2013,17,143,492,675,8100,675,Carton,1,10
1918,10/23/2013,17,143,494,674,8088,674,Carton,1,10
1926,10/24/2013,17,143,496,672,8064,672,Carton,1,10
1934,10/25/2013,17,143,498,677,8124,677,Carton,1,10
1942,10/26/2013,17,143,500,5,60,5,Carton,1,10
1949,10/28/2013,17,143,502,680,8160,680,Carton,1,10
1957,10/29/2013,17,143,504,690,8280,690,Carton,1,10
1965,10/30/2013,17,143,506,688,8256,688,Carton,1,10
1973,10/31/2013,17,143,508,695,8340,695,Carton,1,10
1981,11/1/2013,17,143,510,703,8436,703,Carton,1,10
1993,11/4/2013,17,143,514,699,8388,699,Carton,1,10
2001,11/5/2013,17,143,516,699,8388,699,Carton,1,10
2009,11/6/2013,17,143,518,697,8364,697,Carton,1,10
2017,11/7/2013,17,143,520,695,8340,695,Carton,1,10
2025,11/8/2013,17,143,522,693,8316,693,Carton,1,10
2035,11/11/2013,17,143,525,690,8280,690,Carton,1,10
2043,11/12/2013,17,143,527,690,8280,690,Carton,1,10
2051,11/13/2013,17,143,529,691,8292,691,Carton,1,10
2059,11/14/2013,17,143,531,689,8268,689,Carton,1,10
2067,11/15/2013,17,143,533,710,8520,710,Carton,1,10
2075,11/16/2013,17,143,535,4,48,4,Carton,1,10
2078,11/18/2013,17,143,536,721,8652,721,Carton,1,10
2086,11/19/2013,17,143,538,738,8856,738,Carton,1,10
2094,11/20/2013,17,143,540,740,8880,740,Carton,1,10
2102,11/21/2013,17,143,542,754,9048,754,Carton,1,10
2110,11/22/2013,17,143,544,762,9144,762,Carton,1,10
2119,11/25/2013,17,143,547,759,9108,759,Carton,1,10
2127,11/26/2013,17,143,549,761,9132,761,Carton,1,10
2135,11/27/2013,17,143,551,759,9108,759,Carton,1,10
2143,11/28/2013,17,143,553,762,9144,762,Carton,1,10
2151,11/29/2013,17,143,555,760,9120,760,Carton,1,10
2160,12/2/2013,17,143,558,767,9204,767,Carton,1,10
2168,12/3/2013,17,143,560,769,9228,769,Carton,1,10
2176,12/4/2013,17,143,562,784,9408,784,Carton,1,10
2184,12/5/2013,17,143,564,782,9384,782,Carton,1,10
2192,12/6/2013,17,143,566,783,9396,783,Carton,1,10
2200,12/9/2013,17,143,568,791,9492,791,Carton,1,10
2208,12/10/2013,17,143,570,798,9576,798,Carton,1,10
2216,12/11/2013,17,143,572,796,9552,796,Carton,1,10
2224,12/12/2013,17,143,574,800,9600,800,Carton,1,10
2232,12/13/2013,17,143,576,798,9576,798,Carton,1,10
2241,12/16/2013,17,143,579,807,9684,807,Carton,1,10
2249,12/17/2013,17,143,581,821,9852,821,Carton,1,10
2257,12/18/2013,17,143,583,837,10044,837,Carton,1,10
2265,12/19/2013,17,143,585,835,10020,835,Carton,1,10
2273,12/20/2013,17,143,587,833,9996,833,Carton,1,10
2283,12/23/2013,17,143,591,835,10020,835,Carton,1,10
2291,12/24/2013,17,143,593,839,10068,839,Carton,1,10
2299,12/25/2013,17,143,595,839,10068,839,Carton,1,10
2307,12/26/2013,17,143,597,844,10128,844,Carton,1,10
2315,12/27/2013,17,143,599,847,10164,847,Carton,1,10
2324,12/30/2013,17,143,602,849,10188,849,Carton,1,10
2332,12/31/2013,17,143,604,853,10236,853,Carton,1,10
16,1/1/2013,17,125,2,2,24,2,Carton,1,10
102,1/2/2013,17,125,7,1,12,1,Carton,1,10
226,1/10/2013,17,125,36,7,84,7,Carton,1,10
233,1/11/2013,17,125,39,21,252,21,Carton,1,10
239,1/12/2013,17,125,41,3,36,3,Carton,1,10
244,1/14/2013,17,125,43,16,192,16,Carton,1,10
251,1/15/2013,17,125,47,17,204,17,Carton,1,10
258,1/16/2013,17,125,50,11,132,11,Carton,1,10
262,1/17/2013,17,125,51,15,180,15,Carton,1,10
267,1/18/2013,17,125,52,21,252,21,Carton,1,10
275,1/21/2013,17,125,56,13,156,13,Carton,1,10
280,1/22/2013,17,125,57,11,132,11,Carton,1,10
284,1/23/2013,17,125,58,23,276,23,Carton,1,10
289,1/24/2013,17,125,59,33,396,33,Carton,1,10
294,1/25/2013,17,125,60,37,444,37,Carton,1,10
298,1/26/2013,17,125,61,8,96,8,Carton,1,10
303,1/28/2013,17,125,63,47,564,47,Carton,1,10
310,1/29/2013,17,125,65,47,564,47,Carton,1,10
316,1/30/2013,17,125,67,45,540,45,Carton,1,10
322,1/31/2013,17,125,68,43,516,43,Carton,1,10
328,2/1/2013,17,125,69,43,516,43,Carton,1,10
333,2/2/2013,17,125,70,6,72,6,Carton,1,10
338,2/4/2013,17,125,71,45,540,45,Carton,1,10
344,2/5/2013,17,125,72,43,516,43,Carton,1,10
350,2/6/2013,17,125,73,45,540,45,Carton,1,10
355,2/7/2013,17,125,74,45,540,45,Carton,1,10
361,2/8/2013,17,125,75,43,516,43,Carton,1,10
370,2/11/2013,17,125,77,39,468,39,Carton,1,10
376,2/12/2013,17,125,78,37,444,37,Carton,1,10
382,2/13/2013,17,125,79,35,420,35,Carton,1,10
389,2/14/2013,17,125,81,31,372,31,Carton,1,10
396,2/15/2013,17,125,83,27,324,27,Carton,1,10
406,2/18/2013,17,125,86,39,468,39,Carton,1,10
413,2/19/2013,17,125,88,35,420,35,Carton,1,10
420,2/20/2013,17,125,90,44,528,44,Carton,1,10
427,2/21/2013,17,125,92,40,480,40,Carton,1,10
434,2/22/2013,17,125,94,36,432,36,Carton,1,10
445,2/25/2013,17,125,98,28,336,28,Carton,1,10
452,2/26/2013,17,125,100,24,288,24,Carton,1,10
459,2/27/2013,17,125,102,20,240,20,Carton,1,10
466,2/28/2013,17,125,104,26,312,26,Carton,1,10
473,3/1/2013,17,125,106,22,264,22,Carton,1,10
479,3/2/2013,17,125,108,8,96,8,Carton,1,10
485,3/4/2013,17,125,109,31,372,31,Carton,1,10
492,3/5/2013,17,125,111,36,432,36,Carton,1,10
499,3/6/2013,17,125,113,36,432,36,Carton,1,10
506,3/7/2013,17,125,115,32,384,32,Carton,1,10
513,3/8/2013,17,125,117,28,336,28,Carton,1,10
521,3/11/2013,17,125,120,33,396,33,Carton,1,10
528,3/12/2013,17,125,122,29,348,29,Carton,1,10
535,3/13/2013,17,125,124,27,324,27,Carton,1,10
542,3/14/2013,17,125,126,29,348,29,Carton,1,10
549,3/15/2013,17,125,128,28,336,28,Carton,1,10
556,3/16/2013,17,125,130,12,144,12,Carton,1,10
562,3/18/2013,17,125,131,35,420,35,Carton,1,10
569,3/19/2013,17,125,133,41,492,41,Carton,1,10
577,3/20/2013,17,125,135,40,480,40,Carton,1,10
585,3/21/2013,17,125,137,46,552,46,Carton,1,10
593,3/22/2013,17,125,139,57,684,57,Carton,1,10
602,3/25/2013,17,125,142,51,612,51,Carton,1,10
610,3/26/2013,17,125,144,47,564,47,Carton,1,10
618,3/27/2013,17,125,146,43,516,43,Carton,1,10
626,3/28/2013,17,125,148,39,468,39,Carton,1,10
634,3/29/2013,17,125,150,35,420,35,Carton,1,10
640,3/30/2013,17,125,152,10,120,10,Carton,1,10
646,4/1/2013,17,125,153,45,540,45,Carton,1,10
654,4/2/2013,17,125,155,41,492,41,Carton,1,10
662,4/3/2013,17,125,157,42,504,42,Carton,1,10
670,4/4/2013,17,125,159,38,456,38,Carton,1,10
678,4/5/2013,17,125,161,56,672,56,Carton,1,10
689,4/8/2013,17,125,165,57,684,57,Carton,1,10
697,4/9/2013,17,125,167,60,720,60,Carton,1,10
705,4/10/2013,17,125,169,56,672,56,Carton,1,10
713,4/11/2013,17,125,171,61,732,61,Carton,1,10
721,4/12/2013,17,125,173,65,780,65,Carton,1,10
733,4/15/2013,17,125,176,59,708,59,Carton,1,10
741,4/16/2013,17,125,178,74,888,74,Carton,1,10
749,4/17/2013,17,125,180,70,840,70,Carton,1,10
757,4/18/2013,17,125,182,73,876,73,Carton,1,10
765,4/19/2013,17,125,184,79,948,79,Carton,1,10
770,4/20/2013,17,125,186,10,120,10,Carton,1,10
776,4/22/2013,17,125,188,113,1356,113,Carton,1,10
784,4/23/2013,17,125,190,116,1392,116,Carton,1,10
792,4/24/2013,17,125,192,118,1416,118,Carton,1,10
800,4/25/2013,17,125,194,114,1368,114,Carton,1,10
808,4/26/2013,17,125,196,110,1320,110,Carton,1,10
820,4/29/2013,17,125,200,102,1224,102,Carton,1,10
828,4/30/2013,17,125,202,101,1212,101,Carton,1,10
836,5/1/2013,17,125,204,103,1236,103,Carton,1,10
844,5/2/2013,17,125,206,102,1224,102,Carton,1,10
852,5/3/2013,17,125,208,98,1176,98,Carton,1,10
862,5/6/2013,17,125,211,95,1140,95,Carton,1,10
870,5/7/2013,17,125,213,92,1104,92,Carton,1,10
878,5/8/2013,17,125,215,95,1140,95,Carton,1,10
886,5/9/2013,17,125,217,108,1296,108,Carton,1,10
894,5/10/2013,17,125,219,106,1272,106,Carton,1,10
904,5/13/2013,17,125,222,100,1200,100,Carton,1,10
912,5/14/2013,17,125,224,103,1236,103,Carton,1,10
920,5/15/2013,17,125,226,103,1236,103,Carton,1,10
928,5/16/2013,17,125,228,99,1188,99,Carton,1,10
936,5/17/2013,17,125,230,113,1356,113,Carton,1,10
942,5/18/2013,17,125,232,8,96,8,Carton,1,10
948,5/20/2013,17,125,234,123,1476,123,Carton,1,10
956,5/21/2013,17,125,236,119,1428,119,Carton,1,10
964,5/22/2013,17,125,238,122,1464,122,Carton,1,10
972,5/23/2013,17,125,240,118,1416,118,Carton,1,10
980,5/24/2013,17,125,242,114,1368,114,Carton,1,10
991,5/27/2013,17,125,246,114,1368,114,Carton,1,10
999,5/28/2013,17,125,248,119,1428,119,Carton,1,10
1007,5/29/2013,17,125,250,127,1524,127,Carton,1,10
1015,5/30/2013,17,125,252,123,1476,123,Carton,1,10
1023,5/31/2013,17,125,254,139,1668,139,Carton,1,10
1028,6/1/2013,17,125,256,15,180,15,Carton,1,10
1033,6/3/2013,17,125,257,148,1776,148,Carton,1,10
1042,6/4/2013,17,125,259,144,1728,144,Carton,1,10
1051,6/5/2013,17,125,261,140,1680,140,Carton,1,10
1060,6/6/2013,17,125,263,157,1884,157,Carton,1,10
1069,6/7/2013,17,125,265,162,1944,162,Carton,1,10
1075,6/8/2013,17,125,267,13,156,13,Carton,1,10
1081,6/10/2013,17,125,269,167,2004,167,Carton,1,10
1089,6/11/2013,17,125,271,168,2016,168,Carton,1,10
1097,6/12/2013,17,125,273,167,2004,167,Carton,1,10
1105,6/13/2013,17,125,275,166,1992,166,Carton,1,10
1113,6/14/2013,17,125,277,162,1944,162,Carton,1,10
1123,6/17/2013,17,125,281,154,1848,154,Carton,1,10
1131,6/18/2013,17,125,283,158,1896,158,Carton,1,10
1139,6/19/2013,17,125,285,156,1872,156,Carton,1,10
1147,6/20/2013,17,125,287,152,1824,152,Carton,1,10
1155,6/21/2013,17,125,289,168,2016,168,Carton,1,10
1162,6/22/2013,17,125,291,10,120,10,Carton,1,10
1169,6/24/2013,17,125,293,170,2040,170,Carton,1,10
1177,6/25/2013,17,125,295,166,1992,166,Carton,1,10
1185,6/26/2013,17,125,297,162,1944,162,Carton,1,10
1193,6/27/2013,17,125,299,163,1956,163,Carton,1,10
1201,6/28/2013,17,125,301,181,2172,181,Carton,1,10
1207,6/29/2013,17,125,303,9,108,9,Carton,1,10
1214,7/1/2013,17,125,305,183,2196,183,Carton,1,10
1222,7/2/2013,17,125,307,190,2280,190,Carton,1,10
1230,7/3/2013,17,125,309,206,2472,206,Carton,1,10
1238,7/4/2013,17,125,311,206,2472,206,Carton,1,10
1247,7/5/2013,17,125,313,204,2448,204,Carton,1,10
1252,7/6/2013,17,125,315,7,84,7,Carton,1,10
1260,7/8/2013,17,125,317,213,2556,213,Carton,1,10
1268,7/9/2013,17,125,319,209,2508,209,Carton,1,10
1276,7/10/2013,17,125,321,213,2556,213,Carton,1,10
1284,7/11/2013,17,125,323,211,2532,211,Carton,1,10
1292,7/12/2013,17,125,325,207,2484,207,Carton,1,10
1303,7/15/2013,17,125,329,219,2628,219,Carton,1,10
1311,7/16/2013,17,125,331,223,2676,223,Carton,1,10
1319,7/17/2013,17,125,333,228,2736,228,Carton,1,10
1327,7/18/2013,17,125,335,233,2796,233,Carton,1,10
1335,7/19/2013,17,125,337,235,2820,235,Carton,1,10
1345,7/22/2013,17,125,340,231,2772,231,Carton,1,10
1353,7/23/2013,17,125,342,232,2784,232,Carton,1,10
1361,7/24/2013,17,125,344,238,2856,238,Carton,1,10
1369,7/25/2013,17,125,346,241,2892,241,Carton,1,10
1377,7/26/2013,17,125,348,252,3024,252,Carton,1,10
1383,7/27/2013,17,125,350,9,108,9,Carton,1,10
1389,7/29/2013,17,125,351,259,3108,259,Carton,1,10
1397,7/30/2013,17,125,353,265,3180,265,Carton,1,10
1405,7/31/2013,17,125,355,269,3228,269,Carton,1,10
1413,8/1/2013,17,125,357,272,3264,272,Carton,1,10
1421,8/2/2013,17,125,359,279,3348,279,Carton,1,10
1426,8/3/2013,17,125,361,12,144,12,Carton,1,10
1432,8/5/2013,17,125,363,287,3444,287,Carton,1,10
1440,8/6/2013,17,125,365,283,3396,283,Carton,1,10
1448,8/7/2013,17,125,367,282,3384,282,Carton,1,10
1456,8/8/2013,17,125,369,289,3468,289,Carton,1,10
1464,8/9/2013,17,125,371,288,3456,288,Carton,1,10
1469,8/10/2013,17,125,373,2,24,2,Carton,1,10
1475,8/12/2013,17,125,375,298,3576,298,Carton,1,10
1483,8/13/2013,17,125,377,299,3588,299,Carton,1,10
1491,8/14/2013,17,125,379,295,3540,295,Carton,1,10
1499,8/15/2013,17,125,381,291,3492,291,Carton,1,10
1507,8/16/2013,17,125,383,287,3444,287,Carton,1,10
1513,8/17/2013,17,125,385,10,120,10,Carton,1,10
1520,8/19/2013,17,125,387,293,3516,293,Carton,1,10
