Purchase_Key,DATE_TEMP,Supplier_Key,Stock_Item_Key,WWI_Purchase_Order_ID,Ordered_Outers,Ordered_Quantity,Received_Outers,Package,Is_Order_Finalized,Lineage_Key
701,04-10-2013,17,143,169,245,2940,245,Carton,1,10
709,04-11-2013,17,143,171,243,2916,243,Carton,1,10
717,04-12-2013,17,143,173,253,3036,253,Carton,1,10
725,04-13-2013,17,143,175,5,60,5,Carton,1,10
729,04-15-2013,17,143,176,255,3060,255,Carton,1,10
737,04-16-2013,17,143,178,253,3036,253,Carton,1,10
745,04-17-2013,17,143,180,258,3096,258,Carton,1,10
753,04-18-2013,17,143,182,256,3072,256,Carton,1,10
761,04-19-2013,17,143,184,254,3048,254,Carton,1,10
769,04-20-2013,17,143,186,2,24,2,Carton,1,10
772,04-22-2013,17,143,188,263,3156,263,Carton,1,10
780,04-23-2013,17,143,190,264,3168,264,Carton,1,10
788,04-24-2013,17,143,192,262,3144,262,Carton,1,10
796,04-25-2013,17,143,194,267,3204,267,Carton,1,10
804,04-26-2013,17,143,196,267,3204,267,Carton,1,10
816,04-29-2013,17,143,200,265,3180,265,Carton,1,10
824,04-30-2013,17,143,202,265,3180,265,Carton,1,10
832,05-01-2013,17,143,204,263,3156,263,Carton,1,10
840,05-02-2013,17,143,206,261,3132,261,Carton,1,10
848,05-03-2013,17,143,208,260,3120,260,Carton,1,10
856,05-04-2013,17,143,210,4,48,4,Carton,1,10
858,05-06-2013,17,143,211,261,3132,261,Carton,1,10
866,05-07-2013,17,143,213,264,3168,264,Carton,1,10
874,05-08-2013,17,143,215,272,3264,272,Carton,1,10
882,05-09-2013,17,143,217,277,3324,277,Carton,1,10
890,05-10-2013,17,143,219,275,3300,275,Carton,1,10
900,05-13-2013,17,143,222,274,3288,274,Carton,1,10
908,05-14-2013,17,143,224,277,3324,277,Carton,1,10
916,05-15-2013,17,143,226,283,3396,283,Carton,1,10
924,05-16-2013,17,143,228,289,3468,289,Carton,1,10
932,05-17-2013,17,143,230,287,3444,287,Carton,1,10
940,05-18-2013,17,143,232,3,36,3,Carton,1,10
944,05-20-2013,17,143,234,287,3444,287,Carton,1,10
952,05-21-2013,17,143,236,295,3540,295,Carton,1,10
960,05-22-2013,17,143,238,300,3600,300,Carton,1,10
968,05-23-2013,17,143,240,313,3756,313,Carton,1,10
976,05-24-2013,17,143,242,317,3804,317,Carton,1,10
987,05-27-2013,17,143,246,313,3756,313,Carton,1,10
995,05-28-2013,17,143,248,319,3828,319,Carton,1,10
1003,05-29-2013,17,143,250,324,3888,324,Carton,1,10
1011,05-30-2013,17,143,252,342,4104,342,Carton,1,10
1019,05-31-2013,17,143,254,340,4080,340,Carton,1,10
1029,06-03-2013,17,143,257,347,4164,347,Carton,1,10
1038,06-04-2013,17,143,259,348,4176,348,Carton,1,10
1047,06-05-2013,17,143,261,351,4212,351,Carton,1,10
1056,06-06-2013,17,143,263,349,4188,349,Carton,1,10
1065,06-07-2013,17,143,265,354,4248,354,Carton,1,10
1073,06-08-2013,17,143,267,7,84,7,Carton,1,10
1077,06-10-2013,17,143,269,369,4428,369,Carton,1,10
1085,06-11-2013,17,143,271,372,4464,372,Carton,1,10
1093,06-12-2013,17,143,273,370,4440,370,Carton,1,10
1101,06-13-2013,17,143,275,368,4416,368,Carton,1,10
1109,06-14-2013,17,143,277,372,4464,372,Carton,1,10
1119,06-17-2013,17,143,281,368,4416,368,Carton,1,10
1127,06-18-2013,17,143,283,366,4392,366,Carton,1,10
1135,06-19-2013,17,143,285,376,4512,376,Carton,1,10
1143,06-20-2013,17,143,287,377,4524,377,Carton,1,10
1151,06-21-2013,17,143,289,379,4548,379,Carton,1,10
1159,06-22-2013,17,143,291,2,24,2,Carton,1,10
1165,06-24-2013,17,143,293,377,4524,377,Carton,1,10
1173,06-25-2013,17,143,295,390,4680,390,Carton,1,10
1181,06-26-2013,17,143,297,391,4692,391,Carton,1,10
1189,06-27-2013,17,143,299,389,4668,389,Carton,1,10
1197,06-28-2013,17,143,301,395,4740,395,Carton,1,10
1210,07-01-2013,17,143,305,396,4752,396,Carton,1,10
1218,07-02-2013,17,143,307,399,4788,399,Carton,1,10
1226,07-03-2013,17,143,309,401,4812,401,Carton,1,10
1234,07-04-2013,17,143,311,410,4920,410,Carton,1,10
1243,07-05-2013,17,143,313,408,4896,408,Carton,1,10
1256,07-08-2013,17,143,317,404,4848,404,Carton,1,10
1264,07-09-2013,17,143,319,405,4860,405,Carton,1,10
1272,07-10-2013,17,143,321,403,4836,403,Carton,1,10
1280,07-11-2013,17,143,323,401,4812,401,Carton,1,10
1288,07-12-2013,17,143,325,399,4788,399,Carton,1,10
1296,07-13-2013,17,143,327,19,228,19,Carton,1,10
1299,07-15-2013,17,143,329,423,5076,423,Carton,1,10
1307,07-16-2013,17,143,331,428,5136,428,Carton,1,10
1315,07-17-2013,17,143,333,431,5172,431,Carton,1,10
1323,07-18-2013,17,143,335,438,5256,438,Carton,1,10
1331,07-19-2013,17,143,337,441,5292,441,Carton,1,10
1341,07-22-2013,17,143,340,447,5364,447,Carton,1,10
1349,07-23-2013,17,143,342,455,5460,455,Carton,1,10
1357,07-24-2013,17,143,344,453,5436,453,Carton,1,10
1365,07-25-2013,17,143,346,458,5496,458,Carton,1,10
1373,07-26-2013,17,143,348,456,5472,456,Carton,1,10
1385,07-29-2013,17,143,351,467,5604,467,Carton,1,10
1393,07-30-2013,17,143,353,466,5592,466,Carton,1,10
1401,07-31-2013,17,143,355,471,5652,471,Carton,1,10
1409,08-01-2013,17,143,357,477,5724,477,Carton,1,10
1417,08-02-2013,17,143,359,484,5808,484,Carton,1,10
1425,08-03-2013,17,143,361,9,108,9,Carton,1,10
1428,08-05-2013,17,143,363,497,5964,497,Carton,1,10
1436,08-06-2013,17,143,365,509,6108,509,Carton,1,10
1444,08-07-2013,17,143,367,507,6084,507,Carton,1,10
1452,08-08-2013,17,143,369,506,6072,506,Carton,1,10
1460,08-09-2013,17,143,371,505,6060,505,Carton,1,10
1471,08-12-2013,17,143,375,501,6012,501,Carton,1,10
1479,08-13-2013,17,143,377,506,6072,506,Carton,1,10
1487,08-14-2013,17,143,379,538,6456,538,Carton,1,10
1495,08-15-2013,17,143,381,536,6432,536,Carton,1,10
1503,08-16-2013,17,143,383,534,6408,534,Carton,1,10
1516,08-19-2013,17,143,387,530,6360,530,Carton,1,10
1524,08-20-2013,17,143,389,538,6456,538,Carton,1,10
1532,08-21-2013,17,143,391,536,6432,536,Carton,1,10
1540,08-22-2013,17,143,393,536,6432,536,Carton,1,10
1548,08-23-2013,17,143,395,534,6408,534,Carton,1,10
1559,08-26-2013,17,143,399,530,6360,530,Carton,1,10
1567,08-27-2013,17,143,401,536,6432,536,Carton,1,10
1575,08-28-2013,17,143,403,549,6588,549,Carton,1,10
1583,08-29-2013,17,143,405,547,6564,547,Carton,1,10
1591,08-30-2013,17,143,407,552,6624,552,Carton,1,10
1602,09-02-2013,17,143,411,548,6576,548,Carton,1,10
1610,09-03-2013,17,143,413,556,6672,556,Carton,1,10
1618,09-04-2013,17,143,415,554,6648,554,Carton,1,10
1626,09-05-2013,17,143,417,552,6624,552,Carton,1,10
1634,09-06-2013,17,143,419,559,6708,559,Carton,1,10
1642,09-07-2013,17,143,421,15,180,15,Carton,1,10
1645,09-09-2013,17,143,422,573,6876,573,Carton,1,10
1653,09-10-2013,17,143,424,571,6852,571,Carton,1,10
1661,09-11-2013,17,143,426,569,6828,569,Carton,1,10
1669,09-12-2013,17,143,428,567,6804,567,Carton,1,10
1677,09-13-2013,17,143,430,573,6876,573,Carton,1,10
1685,09-14-2013,17,143,432,3,36,3,Carton,1,10
1688,09-16-2013,17,143,433,575,6900,575,Carton,1,10
1696,09-17-2013,17,143,435,574,6888,574,Carton,1,10
1704,09-18-2013,17,143,437,576,6912,576,Carton,1,10
1712,09-19-2013,17,143,439,595,7140,595,Carton,1,10
1720,09-20-2013,17,143,441,602,7224,602,Carton,1,10
1729,09-23-2013,17,143,444,599,7188,599,Carton,1,10
1737,09-24-2013,17,143,446,607,7284,607,Carton,1,10
1745,09-25-2013,17,143,448,605,7260,605,Carton,1,10
1753,09-26-2013,17,143,450,603,7236,603,Carton,1,10
1761,09-27-2013,17,143,452,609,7308,609,Carton,1,10
1770,09-30-2013,17,143,455,606,7272,606,Carton,1,10
1778,10-01-2013,17,143,457,604,7248,604,Carton,1,10
1786,10-02-2013,17,143,459,602,7224,602,Carton,1,10
1794,10-03-2013,17,143,461,607,7284,607,Carton,1,10
1802,10-04-2013,17,143,463,605,7260,605,Carton,1,10
1810,10-05-2013,17,143,465,1,12,1,Carton,1,10
1815,10-07-2013,17,143,467,618,7416,618,Carton,1,10
1823,10-08-2013,17,143,469,627,7524,627,Carton,1,10
1831,10-09-2013,17,143,471,631,7572,631,Carton,1,10
1839,10-10-2013,17,143,473,641,7692,641,Carton,1,10
1847,10-11-2013,17,143,475,639,7668,639,Carton,1,10
1855,10-12-2013,17,143,477,6,72,6,Carton,1,10
1858,10-14-2013,17,143,478,655,7860,655,Carton,1,10
1866,10-15-2013,17,143,480,668,8016,668,Carton,1,10
1874,10-16-2013,17,143,482,674,8088,674,Carton,1,10
1882,10-17-2013,17,143,484,672,8064,672,Carton,1,10
1890,10-18-2013,17,143,486,670,8040,670,Carton,1,10
1902,10-21-2013,17,143,490,677,8124,677,Carton,1,10
1910,10-22-2013,17,143,492,675,8100,675,Carton,1,10
1918,10-23-2013,17,143,494,674,8088,674,Carton,1,10
1926,10-24-2013,17,143,496,672,8064,672,Carton,1,10
1934,10-25-2013,17,143,498,677,8124,677,Carton,1,10
1942,10-26-2013,17,143,500,5,60,5,Carton,1,10
1949,10-28-2013,17,143,502,680,8160,680,Carton,1,10
1957,10-29-2013,17,143,504,690,8280,690,Carton,1,10
1965,10-30-2013,17,143,506,688,8256,688,Carton,1,10
1973,10-31-2013,17,143,508,695,8340,695,Carton,1,10
1981,11-01-2013,17,143,510,703,8436,703,Carton,1,10
1993,11-04-2013,17,143,514,699,8388,699,Carton,1,10
2001,11-05-2013,17,143,516,699,8388,699,Carton,1,10
2009,11-06-2013,17,143,518,697,8364,697,Carton,1,10
2017,11-07-2013,17,143,520,695,8340,695,Carton,1,10
2025,11-08-2013,17,143,522,693,8316,693,Carton,1,10
2035,11-11-2013,17,143,525,690,8280,690,Carton,1,10
2043,11-12-2013,17,143,527,690,8280,690,Carton,1,10
2051,11-13-2013,17,143,529,691,8292,691,Carton,1,10
2059,11-14-2013,17,143,531,689,8268,689,Carton,1,10
2067,11-15-2013,17,143,533,710,8520,710,Carton,1,10
2075,11-16-2013,17,143,535,4,48,4,Carton,1,10
2078,11-18-2013,17,143,536,721,8652,721,Carton,1,10
2086,11-19-2013,17,143,538,738,8856,738,Carton,1,10
2094,11-20-2013,17,143,540,740,8880,740,Carton,1,10
2102,11-21-2013,17,143,542,754,9048,754,Carton,1,10
2110,11-22-2013,17,143,544,762,9144,762,Carton,1,10
2119,11-25-2013,17,143,547,759,9108,759,Carton,1,10
2127,11-26-2013,17,143,549,761,9132,761,Carton,1,10
2135,11-27-2013,17,143,551,759,9108,759,Carton,1,10
2143,11-28-2013,17,143,553,762,9144,762,Carton,1,10
2151,11-29-2013,17,143,555,760,9120,760,Carton,1,10
2160,12-02-2013,17,143,558,767,9204,767,Carton,1,10
2168,12-03-2013,17,143,560,769,9228,769,Carton,1,10
2176,12-04-2013,17,143,562,784,9408,784,Carton,1,10
2184,12-05-2013,17,143,564,782,9384,782,Carton,1,10
2192,12-06-2013,17,143,566,783,9396,783,Carton,1,10
2200,12-09-2013,17,143,568,791,9492,791,Carton,1,10
2208,12-10-2013,17,143,570,798,9576,798,Carton,1,10
2216,12-11-2013,17,143,572,796,9552,796,Carton,1,10
2224,12-12-2013,17,143,574,800,9600,800,Carton,1,10
2232,12-13-2013,17,143,576,798,9576,798,Carton,1,10
2241,12-16-2013,17,143,579,807,9684,807,Carton,1,10
2249,12-17-2013,17,143,581,821,9852,821,Carton,1,10
2257,12-18-2013,17,143,583,837,10044,837,Carton,1,10
2265,12-19-2013,17,143,585,835,10020,835,Carton,1,10
2273,12-20-2013,17,143,587,833,9996,833,Carton,1,10
2283,12-23-2013,17,143,591,835,10020,835,Carton,1,10
2291,12-24-2013,17,143,593,839,10068,839,Carton,1,10
2299,12-25-2013,17,143,595,839,10068,839,Carton,1,10
2307,12-26-2013,17,143,597,844,10128,844,Carton,1,10
2315,12-27-2013,17,143,599,847,10164,847,Carton,1,10
2324,12-30-2013,17,143,602,849,10188,849,Carton,1,10
2332,12-31-2013,17,143,604,853,10236,853,Carton,1,10
16,01-01-2013,17,125,2,2,24,2,Carton,1,10
102,01-02-2013,17,125,7,1,12,1,Carton,1,10
226,01-10-2013,17,125,36,7,84,7,Carton,1,10
233,01-11-2013,17,125,39,21,252,21,Carton,1,10
239,01-12-2013,17,125,41,3,36,3,Carton,1,10
244,01-14-2013,17,125,43,16,192,16,Carton,1,10
251,01-15-2013,17,125,47,17,204,17,Carton,1,10
258,01-16-2013,17,125,50,11,132,11,Carton,1,10
262,01-17-2013,17,125,51,15,180,15,Carton,1,10
267,01-18-2013,17,125,52,21,252,21,Carton,1,10
275,01-21-2013,17,125,56,13,156,13,Carton,1,10
280,01-22-2013,17,125,57,11,132,11,Carton,1,10
284,01-23-2013,17,125,58,23,276,23,Carton,1,10
289,01-24-2013,17,125,59,33,396,33,Carton,1,10
294,01-25-2013,17,125,60,37,444,37,Carton,1,10
298,01-26-2013,17,125,61,8,96,8,Carton,1,10
303,01-28-2013,17,125,63,47,564,47,Carton,1,10
310,01-29-2013,17,125,65,47,564,47,Carton,1,10
316,01-30-2013,17,125,67,45,540,45,Carton,1,10
322,01-31-2013,17,125,68,43,516,43,Carton,1,10
328,02-01-2013,17,125,69,43,516,43,Carton,1,10
333,02-02-2013,17,125,70,6,72,6,Carton,1,10
338,02-04-2013,17,125,71,45,540,45,Carton,1,10
344,02-05-2013,17,125,72,43,516,43,Carton,1,10
350,02-06-2013,17,125,73,45,540,45,Carton,1,10
355,02-07-2013,17,125,74,45,540,45,Carton,1,10
361,02-08-2013,17,125,75,43,516,43,Carton,1,10
370,02-11-2013,17,125,77,39,468,39,Carton,1,10
376,02-12-2013,17,125,78,37,444,37,Carton,1,10
382,02-13-2013,17,125,79,35,420,35,Carton,1,10
389,02-14-2013,17,125,81,31,372,31,Carton,1,10
396,02-15-2013,17,125,83,27,324,27,Carton,1,10
406,02-18-2013,17,125,86,39,468,39,Carton,1,10
413,02-19-2013,17,125,88,35,420,35,Carton,1,10
420,02-20-2013,17,125,90,44,528,44,Carton,1,10
427,02-21-2013,17,125,92,40,480,40,Carton,1,10
434,02-22-2013,17,125,94,36,432,36,Carton,1,10
445,02-25-2013,17,125,98,28,336,28,Carton,1,10
452,02-26-2013,17,125,100,24,288,24,Carton,1,10
459,02-27-2013,17,125,102,20,240,20,Carton,1,10
466,02-28-2013,17,125,104,26,312,26,Carton,1,10
473,03-01-2013,17,125,106,22,264,22,Carton,1,10
479,03-02-2013,17,125,108,8,96,8,Carton,1,10
485,03-04-2013,17,125,109,31,372,31,Carton,1,10
492,03-05-2013,17,125,111,36,432,36,Carton,1,10
499,03-06-2013,17,125,113,36,432,36,Carton,1,10
506,03-07-2013,17,125,115,32,384,32,Carton,1,10
513,03-08-2013,17,125,117,28,336,28,Carton,1,10
521,03-11-2013,17,125,120,33,396,33,Carton,1,10
528,03-12-2013,17,125,122,29,348,29,Carton,1,10
535,03-13-2013,17,125,124,27,324,27,Carton,1,10
542,03-14-2013,17,125,126,29,348,29,Carton,1,10
549,03-15-2013,17,125,128,28,336,28,Carton,1,10
556,03-16-2013,17,125,130,12,144,12,Carton,1,10
562,03-18-2013,17,125,131,35,420,35,Carton,1,10
569,03-19-2013,17,125,133,41,492,41,Carton,1,10
577,03-20-2013,17,125,135,40,480,40,Carton,1,10
585,03-21-2013,17,125,137,46,552,46,Carton,1,10
593,03-22-2013,17,125,139,57,684,57,Carton,1,10
602,03-25-2013,17,125,142,51,612,51,Carton,1,10
610,03-26-2013,17,125,144,47,564,47,Carton,1,10
618,03-27-2013,17,125,146,43,516,43,Carton,1,10
626,03-28-2013,17,125,148,39,468,39,Carton,1,10
634,03-29-2013,17,125,150,35,420,35,Carton,1,10
640,03-30-2013,17,125,152,10,120,10,Carton,1,10
646,04-01-2013,17,125,153,45,540,45,Carton,1,10
654,04-02-2013,17,125,155,41,492,41,Carton,1,10
662,04-03-2013,17,125,157,42,504,42,Carton,1,10
670,04-04-2013,17,125,159,38,456,38,Carton,1,10
678,04-05-2013,17,125,161,56,672,56,Carton,1,10
689,04-08-2013,17,125,165,57,684,57,Carton,1,10
697,04-09-2013,17,125,167,60,720,60,Carton,1,10
705,04-10-2013,17,125,169,56,672,56,Carton,1,10
713,04-11-2013,17,125,171,61,732,61,Carton,1,10
721,04-12-2013,17,125,173,65,780,65,Carton,1,10
733,04-15-2013,17,125,176,59,708,59,Carton,1,10
741,04-16-2013,17,125,178,74,888,74,Carton,1,10
749,04-17-2013,17,125,180,70,840,70,Carton,1,10
757,04-18-2013,17,125,182,73,876,73,Carton,1,10
765,04-19-2013,17,125,184,79,948,79,Carton,1,10
770,04-20-2013,17,125,186,10,120,10,Carton,1,10
776,04-22-2013,17,125,188,113,1356,113,Carton,1,10
784,04-23-2013,17,125,190,116,1392,116,Carton,1,10
792,04-24-2013,17,125,192,118,1416,118,Carton,1,10
800,04-25-2013,17,125,194,114,1368,114,Carton,1,10
808,04-26-2013,17,125,196,110,1320,110,Carton,1,10
820,04-29-2013,17,125,200,102,1224,102,Carton,1,10
828,04-30-2013,17,125,202,101,1212,101,Carton,1,10
836,05-01-2013,17,125,204,103,1236,103,Carton,1,10
844,05-02-2013,17,125,206,102,1224,102,Carton,1,10
852,05-03-2013,17,125,208,98,1176,98,Carton,1,10
862,05-06-2013,17,125,211,95,1140,95,Carton,1,10
870,05-07-2013,17,125,213,92,1104,92,Carton,1,10
878,05-08-2013,17,125,215,95,1140,95,Carton,1,10
886,05-09-2013,17,125,217,108,1296,108,Carton,1,10
894,05-10-2013,17,125,219,106,1272,106,Carton,1,10
904,05-13-2013,17,125,222,100,1200,100,Carton,1,10
912,05-14-2013,17,125,224,103,1236,103,Carton,1,10
920,05-15-2013,17,125,226,103,1236,103,Carton,1,10
928,05-16-2013,17,125,228,99,1188,99,Carton,1,10
936,05-17-2013,17,125,230,113,1356,113,Carton,1,10
942,05-18-2013,17,125,232,8,96,8,Carton,1,10
948,05-20-2013,17,125,234,123,1476,123,Carton,1,10
956,05-21-2013,17,125,236,119,1428,119,Carton,1,10
964,05-22-2013,17,125,238,122,1464,122,Carton,1,10
972,05-23-2013,17,125,240,118,1416,118,Carton,1,10
980,05-24-2013,17,125,242,114,1368,114,Carton,1,10
991,05-27-2013,17,125,246,114,1368,114,Carton,1,10
999,05-28-2013,17,125,248,119,1428,119,Carton,1,10
1007,05-29-2013,17,125,250,127,1524,127,Carton,1,10
1015,05-30-2013,17,125,252,123,1476,123,Carton,1,10
1023,05-31-2013,17,125,254,139,1668,139,Carton,1,10
1028,06-01-2013,17,125,256,15,180,15,Carton,1,10
1033,06-03-2013,17,125,257,148,1776,148,Carton,1,10
1042,06-04-2013,17,125,259,144,1728,144,Carton,1,10
1051,06-05-2013,17,125,261,140,1680,140,Carton,1,10
1060,06-06-2013,17,125,263,157,1884,157,Carton,1,10
1069,06-07-2013,17,125,265,162,1944,162,Carton,1,10
1075,06-08-2013,17,125,267,13,156,13,Carton,1,10
1081,06-10-2013,17,125,269,167,2004,167,Carton,1,10
1089,06-11-2013,17,125,271,168,2016,168,Carton,1,10
1097,06-12-2013,17,125,273,167,2004,167,Carton,1,10
1105,06-13-2013,17,125,275,166,1992,166,Carton,1,10
1113,06-14-2013,17,125,277,162,1944,162,Carton,1,10
1123,06-17-2013,17,125,281,154,1848,154,Carton,1,10
1131,06-18-2013,17,125,283,158,1896,158,Carton,1,10
1139,06-19-2013,17,125,285,156,1872,156,Carton,1,10
1147,06-20-2013,17,125,287,152,1824,152,Carton,1,10
1155,06-21-2013,17,125,289,168,2016,168,Carton,1,10
1162,06-22-2013,17,125,291,10,120,10,Carton,1,10
1169,06-24-2013,17,125,293,170,2040,170,Carton,1,10
1177,06-25-2013,17,125,295,166,1992,166,Carton,1,10
1185,06-26-2013,17,125,297,162,1944,162,Carton,1,10
1193,06-27-2013,17,125,299,163,1956,163,Carton,1,10
1201,06-28-2013,17,125,301,181,2172,181,Carton,1,10
1207,06-29-2013,17,125,303,9,108,9,Carton,1,10
1214,07-01-2013,17,125,305,183,2196,183,Carton,1,10
1222,07-02-2013,17,125,307,190,2280,190,Carton,1,10
1230,07-03-2013,17,125,309,206,2472,206,Carton,1,10
1238,07-04-2013,17,125,311,206,2472,206,Carton,1,10
1247,07-05-2013,17,125,313,204,2448,204,Carton,1,10
1252,07-06-2013,17,125,315,7,84,7,Carton,1,10
1260,07-08-2013,17,125,317,213,2556,213,Carton,1,10
1268,07-09-2013,17,125,319,209,2508,209,Carton,1,10
1276,07-10-2013,17,125,321,213,2556,213,Carton,1,10
1284,07-11-2013,17,125,323,211,2532,211,Carton,1,10
1292,07-12-2013,17,125,325,207,2484,207,Carton,1,10
1303,07-15-2013,17,125,329,219,2628,219,Carton,1,10
1311,07-16-2013,17,125,331,223,2676,223,Carton,1,10
1319,07-17-2013,17,125,333,228,2736,228,Carton,1,10
1327,07-18-2013,17,125,335,233,2796,233,Carton,1,10
1335,07-19-2013,17,125,337,235,2820,235,Carton,1,10
1345,07-22-2013,17,125,340,231,2772,231,Carton,1,10
1353,07-23-2013,17,125,342,232,2784,232,Carton,1,10
1361,07-24-2013,17,125,344,238,2856,238,Carton,1,10
1369,07-25-2013,17,125,346,241,2892,241,Carton,1,10
1377,07-26-2013,17,125,348,252,3024,252,Carton,1,10
1383,07-27-2013,17,125,350,9,108,9,Carton,1,10
1389,07-29-2013,17,125,351,259,3108,259,Carton,1,10
1397,07-30-2013,17,125,353,265,3180,265,Carton,1,10
1405,07-31-2013,17,125,355,269,3228,269,Carton,1,10
1413,08-01-2013,17,125,357,272,3264,272,Carton,1,10
1421,08-02-2013,17,125,359,279,3348,279,Carton,1,10
1426,08-03-2013,17,125,361,12,144,12,Carton,1,10
1432,08-05-2013,17,125,363,287,3444,287,Carton,1,10
1440,08-06-2013,17,125,365,283,3396,283,Carton,1,10
1448,08-07-2013,17,125,367,282,3384,282,Carton,1,10
1456,08-08-2013,17,125,369,289,3468,289,Carton,1,10
1464,08-09-2013,17,125,371,288,3456,288,Carton,1,10
1469,08-10-2013,17,125,373,2,24,2,Carton,1,10
1475,08-12-2013,17,125,375,298,3576,298,Carton,1,10
1483,08-13-2013,17,125,377,299,3588,299,Carton,1,10
1491,08-14-2013,17,125,379,295,3540,295,Carton,1,10
1499,08-15-2013,17,125,381,291,3492,291,Carton,1,10
1507,08-16-2013,17,125,383,287,3444,287,Carton,1,10
1513,08-17-2013,17,125,385,10,120,10,Carton,1,10
