Stock_Item_Key,Stock_Item,Selling_Package,Buying_Package,Brand,Size,Lead_Time_Days,Quantity_Per_Outer,Is_Chiller_Stock,Barcode,Tax_Rate,Unit_Price,Recommended_Retail_Price,Typical_Weight_Per_Unit,Lineage_Key,Purchase_Key,DATE_TEMP,Supplier_Key,WWI_Purchase_Order_ID,Ordered_Outers,Ordered_Quantity,Received_Outers,Package,Is_Order_Finalized,Color,End_Of_Month,DATE_YEAR,DATE_QUARTER,DATE_MONTH,Price_Category
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,357,2013-02-08,17,75,66,792,66,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,366,2013-02-11,17,77,74,888,74,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,372,2013-02-12,17,78,77,924,77,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,378,2013-02-13,17,79,85,1020,85,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,385,2013-02-14,17,81,89,1068,89,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,392,2013-02-15,17,83,92,1104,92,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,399,2013-02-16,17,85,2,24,2,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,402,2013-02-18,17,86,91,1092,91,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,409,2013-02-19,17,88,93,1116,93,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,416,2013-02-20,17,90,91,1092,91,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,423,2013-02-21,17,92,89,1068,89,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,430,2013-02-22,17,94,87,1044,87,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,441,2013-02-25,17,98,83,996,83,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,448,2013-02-26,17,100,89,1068,89,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,455,2013-02-27,17,102,87,1044,87,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,462,2013-02-28,17,104,85,1020,85,Carton,1,White,2013-02-28,2013,1,2,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,469,2013-03-01,17,106,92,1104,92,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,476,2013-03-02,17,108,6,72,6,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,481,2013-03-04,17,109,97,1164,97,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,488,2013-03-05,17,111,95,1140,95,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,495,2013-03-06,17,113,98,1176,98,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,502,2013-03-07,17,115,108,1296,108,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,509,2013-03-08,17,117,106,1272,106,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,517,2013-03-11,17,120,108,1296,108,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,524,2013-03-12,17,122,117,1404,117,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,531,2013-03-13,17,124,115,1380,115,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,538,2013-03-14,17,126,128,1536,128,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,545,2013-03-15,17,128,126,1512,126,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,553,2013-03-16,17,130,13,156,13,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,558,2013-03-18,17,131,136,1632,136,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,565,2013-03-19,17,133,156,1872,156,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,573,2013-03-20,17,135,158,1896,158,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,581,2013-03-21,17,137,186,2232,186,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,589,2013-03-22,17,139,205,2460,205,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,598,2013-03-25,17,142,202,2424,202,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,606,2013-03-26,17,144,205,2460,205,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,614,2013-03-27,17,146,203,2436,203,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,622,2013-03-28,17,148,204,2448,204,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,630,2013-03-29,17,150,202,2424,202,Carton,1,White,2013-03-31,2013,1,3,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,642,2013-04-01,17,153,207,2484,207,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,650,2013-04-02,17,155,217,2604,217,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,658,2013-04-03,17,157,221,2652,221,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,666,2013-04-04,17,159,227,2724,227,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,674,2013-04-05,17,161,235,2820,235,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,685,2013-04-08,17,165,231,2772,231,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,693,2013-04-09,17,167,238,2856,238,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,701,2013-04-10,17,169,245,2940,245,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,709,2013-04-11,17,171,243,2916,243,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,717,2013-04-12,17,173,253,3036,253,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,725,2013-04-13,17,175,5,60,5,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,729,2013-04-15,17,176,255,3060,255,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,737,2013-04-16,17,178,253,3036,253,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,745,2013-04-17,17,180,258,3096,258,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,753,2013-04-18,17,182,256,3072,256,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,761,2013-04-19,17,184,254,3048,254,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,769,2013-04-20,17,186,2,24,2,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,772,2013-04-22,17,188,263,3156,263,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,780,2013-04-23,17,190,264,3168,264,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,788,2013-04-24,17,192,262,3144,262,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,796,2013-04-25,17,194,267,3204,267,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,804,2013-04-26,17,196,267,3204,267,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,816,2013-04-29,17,200,265,3180,265,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,824,2013-04-30,17,202,265,3180,265,Carton,1,White,2013-04-30,2013,2,4,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,832,2013-05-01,17,204,263,3156,263,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,840,2013-05-02,17,206,261,3132,261,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,848,2013-05-03,17,208,260,3120,260,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,856,2013-05-04,17,210,4,48,4,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,858,2013-05-06,17,211,261,3132,261,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,866,2013-05-07,17,213,264,3168,264,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,874,2013-05-08,17,215,272,3264,272,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,882,2013-05-09,17,217,277,3324,277,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,890,2013-05-10,17,219,275,3300,275,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,900,2013-05-13,17,222,274,3288,274,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,908,2013-05-14,17,224,277,3324,277,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,916,2013-05-15,17,226,283,3396,283,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,924,2013-05-16,17,228,289,3468,289,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,932,2013-05-17,17,230,287,3444,287,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,940,2013-05-18,17,232,3,36,3,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,944,2013-05-20,17,234,287,3444,287,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,952,2013-05-21,17,236,295,3540,295,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,960,2013-05-22,17,238,300,3600,300,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,968,2013-05-23,17,240,313,3756,313,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,976,2013-05-24,17,242,317,3804,317,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,987,2013-05-27,17,246,313,3756,313,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,995,2013-05-28,17,248,319,3828,319,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1003,2013-05-29,17,250,324,3888,324,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1011,2013-05-30,17,252,342,4104,342,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1019,2013-05-31,17,254,340,4080,340,Carton,1,White,2013-05-31,2013,2,5,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1029,2013-06-03,17,257,347,4164,347,Carton,1,White,2013-06-30,2013,2,6,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1038,2013-06-04,17,259,348,4176,348,Carton,1,White,2013-06-30,2013,2,6,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1047,2013-06-05,17,261,351,4212,351,Carton,1,White,2013-06-30,2013,2,6,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1056,2013-06-06,17,263,349,4188,349,Carton,1,White,2013-06-30,2013,2,6,D
143,The Gu red shirt XML tag t-shirt (White) XXS,Each,Carton,N/A,XXS,7,12,0,N/A,7,18,26.91,0.25,5,1065,2013-06-07,17,265,354,4248,354,Carton,1,White,2013-06-30,2013,2,6,D
